"YEAR","AMERICAN PLAICE","ATLANTIC HALIBUT","ATLANTIC COD","HADDOCK","HERRING","REDFISH UNSEPARATED","SAND LANCE","SILVER HAKE","SPINY DOGFISH","GREENLAND HALIBUT","WHITE HAKE","WITCH FLOUNDER","YELLOWTAIL FLOUNDER"
1970,136.135974448044,1778.62669489209,566.312120587354,575.03944017403,360.25947206008,186.557546732698,316495430383.18,132.254040643838,NA,375.830417294634,934.096654804831,249.992534049396,154.35482708981
1971,154.444370712764,3770.23655265152,594.160050486037,444.786038051065,342.002739532883,303.007116172491,628528997.95,133.634466014801,NA,334.032920668274,531.578702147953,316.160221823018,166.034905814139
1972,137.667673597276,1017.08054344496,551.131550657068,433.280143281157,393.23925630813,180.360087425971,665145103684.029,114.797590024793,1704.96799774965,1243.26438072005,1060.74184084557,296.878894217924,195.40335616522
1973,175.009273577399,1614.88346682822,573.65697558325,568.426694877902,453.188936384027,221.184653811489,19421081884.7,110.556412432082,2478.23213809684,92.9394144069857,721.212337675117,296.788232036358,190.549533650363
1974,136.297855985328,2339.32699854908,335.338759929905,624.910166110386,244.955319340266,226.620104059684,28247909518.9616,145.289439521004,1513.74132691291,133.470513690762,616.789154742718,307.787471983056,161.192488359541
1975,168.323559748702,979.830519574973,511.957424189618,469.237691104147,305.494945791741,304.340628987903,470701719.292,118.889185823467,NA,185.150068024079,696.096413494295,326.651547720478,140.717246347911
1976,195.966637955953,2810.59466736477,544.664023842701,305.762652087041,377.42373489878,290.011177201976,52080522550.62,160.917200323053,NA,405.989379023324,591.185642321455,355.491746266354,180.432194344041
1977,182.688585910678,1950.4012091448,855.732306309881,451.193858826376,392.178018494041,285.000385106225,74154558.122,192.245795747067,NA,1046.98362307008,963.144437932507,285.490122922002,165.901651600308
1978,154.046295934995,5861.55430387263,831.150831642451,417.208048635004,432.73729427416,330.426492089365,24673530.08,159.232175789738,2854.46985467581,2356.06314993499,684.737421296412,310.469142054894,241.994317385009
1979,153.608141203461,3765.65632663524,528.291354756703,544.011836371066,NA,388.995405847686,70572232.8,172.444877201929,NA,913.784084083797,883.473657426898,279.241422662531,184.494466443512
1980,195.769279237875,2249.59019548483,1008.79727222954,636.244553570392,240.428680259331,250.727413193936,9433315.4827,156.540222083022,3662.4005877794,1910.3504786836,779.887505647295,293.775060888795,232.47227839374
1981,206.333678291481,3964.66387418047,840.405930370259,122.960732292047,443.788802635854,247.446610772164,9211455830.9237,177.732863715331,3193.32105493413,3531.5624624347,632.000828174324,211.120078071522,209.54964264404
1982,147.844900685385,2576.00865011726,436.004637033504,291.448247211315,363.320087241823,221.223882565626,135930709.527,77.9293613487104,2330.73770613917,162.242618913257,530.832770569025,246.620008998777,254.331408429837
1983,143.522026677329,3054.27280806201,360.926004825042,281.430309058777,330.38095384135,85.6394682826463,675269383,152.063162694552,1365.87045485407,124.922149085984,349.870488814053,248.239064680387,222.010910113971
1984,129.874529710079,5817.7189293989,838.415037914641,517.881243739368,349.405961379644,62.5693345297502,800807977.489,119.296168164653,1185.8739525262,82.1237108694838,784.467817812817,227.254743516182,186.298215970436
1985,173.992141304125,1875.34604804022,773.620315665118,539.780133908536,309.769943029608,179.763739827943,884873706.82,163.847820758899,1195.00109678106,280.527907533715,659.556667045935,241.61723404034,190.264479495861
1986,106.117745294589,555.404695319083,895.968446148299,644.958545700084,299.950301575215,210.156644816731,79029895.91,71.7219607539147,1276.45305386233,251.271158561217,685.78334525559,248.612313949886,147.352595477303
1987,150.040586966313,1425.24454722962,713.295317056557,601.681867797125,279.795899452623,164.741694707945,9366001679.16,88.2670903330872,533.20370344952,274.69377456126,654.124362383702,188.318842524461,115.43788120069
1988,131.203666055606,977.84455904912,780.11610927437,491.523089911819,284.78779268777,175.497644932649,139030780083.938,116.931105098688,1381.27807724242,221.200254332684,519.553225280114,124.133653948178,191.672589491178
1989,158.026429185168,2417.80812989767,692.30479170272,340.046599742708,341.428430514185,103.899198615525,22335587891.73,86.7380310994473,731.828148767374,302.696291651832,399.019626332837,142.374002550675,160.292474154898
1990,124.35740005864,2167.5864936752,473.938172886062,486.1859763625,290.797086130162,127.291774388168,1126225338.87,114.709832286768,1090.1193900199,243.490889953761,553.634045070793,83.8234251911132,107.867870087188
1991,111.103237864935,1645.47205217185,421.723685968025,555.622310834343,331.493339008478,94.7212164253991,235965333201.524,112.503933194534,505.605294015997,237.995257779934,550.195652665806,195.153301532908,154.830368542125
1992,136.980274945513,3328.82112621556,304.994493439987,568.3627820264,338.847885332368,115.730653025735,2489560420.9609,128.562208055326,1483.79626674032,236.588775420465,383.045443995982,111.324075800559,150.919661466909
1993,107.693852908064,4709.17266460061,550.371493753761,370.277707866965,359.960347673364,142.014305905997,28245974744.9869,75.5144257898582,1478.44954641954,179.519976453969,411.91643343689,49.3505896887757,131.338724819681
1994,74.419014019383,2317.39124197135,456.230987597052,311.988997522103,268.34283442902,142.036588336623,8479835583.5554,70.4439963114019,1288.57402439542,81.2257245777828,348.961874701973,45.6507719892642,123.277404595242
1995,65.9713597881892,3266.97739845907,378.326258215881,373.584235548748,247.4542797375,287.183601323507,715730751494.693,108.850830303985,1492.0952026514,233.267389981585,278.733477989106,23.915187531994,113.978855511144
1996,74.0349670100768,2800.14353086479,368.667805542058,235.652670325609,243.542135957048,271.993383841978,34475525210.872,102.009905876583,467.615053873735,97.9677864720547,332.604242344761,65.7165010412522,108.226430839095
1997,80.9759529909591,1846.0427935506,431.059764446213,306.199024468261,245.644292319087,271.419194453866,69104811000.2146,66.57245910766,1518.08125871748,230.888279071011,339.391624396054,45.722497616608,134.624417780245
1998,75.8060385631173,3455.96499157227,448.431043337627,334.815985888971,226.267428038731,154.502164848184,614479697253.094,90.8293940394774,981.698763080734,275.070591456697,393.055211877985,44.8852830025234,85.2568988958033
1999,80.967567530888,1848.97010154143,105.871361375585,80.9560438597617,220.707613757968,150.843619464585,1461645027697.92,47.3174638330326,345.267438901045,469.777944481801,371.31826272765,75.5748446029875,110.246111758233
2000,77.0726584512947,3408.68973831498,97.6319479477836,159.734520126803,209.486525187716,128.399666285144,1239050448810.69,85.8767966525577,774.420785618303,173.656541226185,304.924440664663,83.1658720207431,105.368684006167
2001,64.7149242863374,1651.04862502446,247.965399712433,248.695781197185,200.643378844218,220.875649087424,912906339246.15,79.7982579279766,1523.15666551514,342.776893517807,415.773195631419,104.848544410265,125.640916096922
2002,82.103581852232,6726.90760027754,474.225804112744,291.386365042829,175.21655165175,164.781188989522,962526218854.719,78.8905825178099,1155.71778451886,202.937792964424,294.798358322989,95.9749813461163,109.463449626288
2003,86.6127660651406,2493.15492196747,329.97222698851,310.657636973328,203.991139002923,138.095583468102,716847470168.4,52.4093363488692,1390.58418983291,112.686962480292,353.077625774415,82.7073474475509,116.017178627322
2004,82.0161920071394,1751.14306889848,174.140472596152,372.012068668321,189.582327817527,131.356432849039,657025278334.561,117.110843443687,1597.90300218386,304.712026142054,359.54729011674,113.850441100864,87.5698913248325
2005,70.4150883065353,4555.10474670666,229.355929317201,292.063945675548,194.987173334415,73.1734333208115,1423130648572.32,35.2680760368663,1681.82678835093,165.085336784121,445.23245109213,69.2359715720868,113.548341404954
2006,126.907321669709,3525.67745213857,328.574968281668,137.784498537725,194.051249547248,62.6931914540008,658196526986.785,56.652897747111,1130.42570731871,174.577041085199,412.256576015067,115.012324942629,121.304375598638
2007,84.7698648653551,5257.87821326472,458.622846639856,354.042827443507,233.412092882408,59.1596330457293,370334010520.385,59.3641480778341,1108.55454159296,220.169173620465,342.334679320457,84.5050516904036,120.040774063211
2008,78.45476315353,2587.94434979344,338.211737867115,485.367384299072,243.744387771373,78.7868981700966,537133835749.562,74.0260369429701,1827.20049988963,340.178990712245,476.441689484358,94.6689289699748,117.132642511329
2009,89.1496105620786,3075.64842564405,587.627190724136,482.180374900299,201.336949925544,117.360624568627,252661554083.827,95.4775831114211,569.889313823593,231.570741597786,465.359414055456,142.14886379396,123.964870372244
2010,83.2792597218715,2101.37789618494,217.539321523443,276.849965070394,155.869512269026,98.7430705974078,302161117214.152,65.0709370264343,757.928067217,420.137162415534,375.154272838288,103.078001816307,101.063145949901
