Numeric	Species		Common English			Latin name			3-alpha	Species group	
Code										code

001    HOURS FISHED        HOURS FISHED                                                                
002    DAYS FISHED         DAYS FISHED                                                                 
003    DAYS ON GROUND      DAYS ON GROUND                                                              
101  COD                 ATLANTIC COD             GADUS MORHUA                       COD  1          
102  HADDOCK             HADDOCK                  MELANOGRAMMUS AEGLEFINUS           HAD  1          
103  REDFISHES           ATLANTIC REDFISHES (NS)  SEBASTES SP.                       RED  1          
104  SILVER HAKE         SILVER HAKE              MERLUCCIUS BILINEARIS              HKS  1          
105  RED HAKE            RED HAKE                 UROPHYCIS CHUSS                    HKR  1          
106  POLLOCK             POLLOCK (SAITHE)         POLLACHIUS VIRENS                  POK  1          
108  G REDFISH           GOLDEN REDFISH           SEBASTES MARINUS                   REG  1          
109  B REDFISH           BEAKED REDFISH           SEBASTES MENTELLA                  REB  1
110  A REDFISH		 ACADIAN REDFISH          SEBASTES FASCIATUS                 REN  1
112  A PLAICE            AMERICAN PLAICE          HIPPOGLOSSOIDES PLATESSOIDES       PLA  1          
114  WITCH               WITCH FLOUNDER           GLYPTOCEPHALUS CYNOGLOSSUS         WIT  1          
116  YELLOWTAIL          YELLOWTAIL FLOUNDER      LIMANDA FERRUGINEA                 YEL  1          
118  G HALIBUT           GREENLAND HALIBUT        REINHARDTIUS HIPPOGLOSSOIDES       GHL  1          
120  A HALIBUT           ATLANTIC HALIBUT         HIPPOGLOSSUS HIPPOGLOSSUS          HAL  1          
122  WINTER FLO.         WINTER FLOUNDER          PSEUDOPLEURONECTES AMERICANUS      FLW  1          
124  SUMMER FLO.         SUMMER FLOUNDER          PARALICHTHYS DENTATUS              FLS  1          
125  WINDOWPANE          WINDOWPANE FLOUNDER      SCOPHTHALMUS AQUOSUS               FLD  1          
129  FLATFISH (NS)       FLATFISHES (NS)          PLEURONECTIFORMES                  FLX  1          
132  ANGLER              AMERICAN ANGLER          LOPHIUS AMERICANUS                 ANG  1          
136  SEAROBINS           ATLANTIC SEAROBINS       PRIONOTUS SP.                      SRA  1          
