V,Country,Division,Species Name,Metric Tonnes
2021,CANADA GULF - CAN-G,4VS,PINK (=PANDALID) SHRIMPS - PAN,541
2021,CANADA GULF - CAN-G,4VN,ATLANTIC HALIBUT - HAL,1
2021,CANADA NEWFOUNDLAND - CAN-N,4VS,SURF CLAM - CLB,7086
2021,CANADA NEWFOUNDLAND - CAN-N,4VS,CLAMS (NS) - CLX,1799
2021,CANADA NEWFOUNDLAND - CAN-N,4VS,ATLANTIC REDFISHES (NS) - RED,1224
2021,CANADA NEWFOUNDLAND - CAN-N,4W,SILVER HAKE - HKS,363
2021,CANADA NEWFOUNDLAND - CAN-N,4VS,SURF CLAM - CLB,346
2021,CANADA NEWFOUNDLAND - CAN-N,4W,OCEAN QUAHOG - CLQ,304
2021,CANADA NEWFOUNDLAND - CAN-N,4VS,MARINE MOLLUSCS (NS) - MOL,49
2021,CANADA NEWFOUNDLAND - CAN-N,4VS,ATLANTIC HALIBUT - HAL,20
2021,CANADA NEWFOUNDLAND - CAN-N,4VS,POLLOCK (SAITHE) - POK,13
2021,CANADA NEWFOUNDLAND - CAN-N,4VN,ATLANTIC REDFISHES (NS) - RED,9
2021,CANADA NEWFOUNDLAND - CAN-N,4VS,QUEEN CRAB - CRQ,4
2021,CANADA NEWFOUNDLAND - CAN-N,4W,CLAMS (NS) - CLX,3
2021,CANADA NEWFOUNDLAND - CAN-N,4W,SURF CLAM - CLB,2
2021,CANADA NEWFOUNDLAND - CAN-N,4VS,WHITE HAKE - HKW,1
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC HERRING - HER,36126
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC HERRING - HER,6636
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,SILVER HAKE - HKS,4075
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,POLLOCK (SAITHE) - POK,2631
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC HALIBUT - HAL,1404
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,ATLANTIC HALIBUT - HAL,1013
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC MACKEREL - MAC,928
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VS,NORTHERN PRAWN - PRA,834
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VS,ATLANTIC HALIBUT - HAL,832
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VN,NORTHERN PRAWN - PRA,619
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,ATLANTIC HAGEFISH - MYG,611
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,WINTER FLOUNDER - FLW,541
2021,CANADA SCOTIA - FUNDY - CAN-SF,4X,WHITE HAKE - HKW,416
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,NORTHERN PRAWN - PRA,373
2021,CANADA SCOTIA - FUNDY - CAN-SF,4VN,ATLANTIC HALIBUT - HAL,352
2021,CANADA SCOTIA - FUNDY - CAN-SF,4W,RED HAKE - HKR,260
