length_cm,AMERICAN PLAICE,COD(ATLANTIC),HERRING(ATLANTIC),ATLANTIC HALIBUT ,REDFISH UNSEPARATED,"TURBOT, GREENLAND HALIBUT",HADDOCK,SANDLANCES,SILVER HAKE,SPINY DOGFISH,WHITE HAKE,WITCH FLOUNDER,YELLOWTAIL FLOUNDER,YEAR
3,,,,,428604.4423,,,,,,,,,1970
6,,2171461.287,,,,,,,,,,,,1970
7,957009.6544,,,,,,719855.7063,,,,,,,1970
8,1364998.916,,,,1471072.368,,1653484.765,,,,,,,1970
9,2419092.862,858234.0919,,,4660072.854,,,,,,,,,1970
10,7126795.005,,,,6980375.547,,,,2787235.192,,,,654024.8627,1970
11,6764611.802,1573330.794,,,27214999.38,,,,,,,,2662503.396,1970
12,7360159.856,,,,20266837.75,,,,837790.6617,,,,,1970
13,12838303.4,,,,15050705.02,,,,390213.9111,,,,2204066.55,1970
14,15662720.65,,,,11441830.06,,,,2124505.9,,,,1962003.703,1970
15,23411273.33,633450.1322,,,19955707.73,,,,5839476.732,,,,4871314.051,1970
16,26419375.93,1226212.126,,,40809967.57,,,,15284648.52,,,322056.6347,13528408.55,1970
17,27764792.75,2015490.829,,,98285564.12,,345576.333,,15860875.47,,,933554.8348,20292770.56,1970
18,40509569.68,1897436.953,,,172275943.7,,691211.3453,,20145312.66,,295021.5455,,26561719.19,1970
19,77053713.78,4412424.17,,,197606983.2,355923.2287,2052720.401,3344342.246,21154367.68,,483145.9967,1697618.302,18460011.94,1970
20,53200645.96,5304018.365,,,254647026,469466.832,3769213.433,66569155.34,22487521.08,,,442090.7218,21707196.03,1970
21,83289437.68,3418435.802,,,262564887.7,,4846811.214,574814811,16382246.8,,658781.6032,2725525.44,28346930.4,1970
22,65887431.23,12217897.89,,,246916440.5,,7877875.855,2023329201,10891277.23,,334343.8319,996620.3332,14563593.06,1970
23,83223408.21,5964572.109,,,195574446,,4287832.469,2631579922,7647770.64,,417855.0421,2459260.746,25294922.99,1970
