length_cm,AMERICAN PLAICE,COD(ATLANTIC),HERRING(ATLANTIC),ATLANTIC HALIBUT ,REDFISH UNSEPARATED,"TURBOT, GREENLAND HALIBUT",HADDOCK,SANDLANCES,SILVER HAKE,SPINY DOGFISH,WHITE HAKE,WITCH FLOUNDER,YELLOWTAIL FLOUNDER,YEAR
3,,,,,140.1252468,,,,,,,,,1970
6,,3713.288209,,,,,,,,,,,,1970
7,1449.62367,,,,,,1683.985771,,,,,,,1970
8,3260.204752,,,,10140.17079,,5961.606221,,,,,,,1970
9,8634.034969,5135.990484,,,46322.3799,,,,,,,,,1970
10,36433.8616,,,,96271.02542,,,,13099.05348,,,,5132.377117,1970
11,47864.98391,17501.61151,,,504751.4293,,,,,,,,27948.84433,1970
12,70070.46711,,,,492612.7816,,,,7318.05289,,,,,1970
13,160585.6809,,,,469159.4584,,,,4474.49531,,,,38526.19907,1970
14,252248.0707,,,,449047.4096,,,,31341.37359,,,,43000.5132,1970
15,477057.984,18369.81547,,,970492.9786,,,,108918.2011,,,,131789.6758,1970
16,670898.5028,43405.94328,,,2425534.537,,,,355035.4158,,,5339.493112,445695.694,1970
17,867001.7112,86040.7873,,,7052836.312,,14322.39879,,452745.6481,,,19192.64472,804453.6398,1970
18,1537236.159,96645.19246,,,14765657.03,,34474.72875,,698383.9822,,9547.339767,,1253685.992,1970
19,3516054.582,265602.4393,,,20036041.2,16181.59353,121980.0813,51932.27218,881351.9264,,18731.81666,51789.57059,1027636.687,1970
20,2891675.405,374093.3203,,,30282058.85,25333.6274,264469.8885,1187172.456,1115383.725,,,16179.33171,1413217.749,1970
21,5346699.509,280326.4307,,,36336392.2,,398314.6171,11693628.16,959166.0054,,35686.46735,118601.128,2141858.678,1970
22,4956776.22,1156775.122,,,39486552.48,,752713.937,46666786.92,746938.589,,21157.9851,51151.60318,1268303.74,1970
23,7285843.357,647847.2212,,,35909849.52,,473150.6251,68431176.54,610060.6026,,30677.76263,147787.4902,2522994.196,1970
24,8336214.211,938227.5724,,,28225340.87,31656.93765,229646.5434,80377239.25,550842.0825,,66577.61347,91614.46107,3975842.967,1970
25,8915723.893,3564171.335,237353.1181,,21039879.92,33066.8154,177345.5706,69768769.51,1409488.601,,123235.8647,225230.0501,5025438.5,1970
26,7575927.012,628862.0979,,,17247601.2,,162669.8371,25635729.38,3666417.101,,137920.482,249957.4745,5455825.818,1970
27,9131002.456,757858.783,,,15063265.7,,43179.39266,10735950.07,7833951.885,,122105.3534,255557.0696,6683848.172,1970
28,6038835.546,2179496.05,2913689.828,,14906345.75,,10169.86501,1947045.825,10044358.15,,104625.5558,160637.8332,6429058.516,1970
29,8306309.406,281877.2873,9180730.418,,13048157.78,,59949.27211,,8772752.85,,124401.2942,450471.1417,4924424.564,1970
30,6995557.988,206614.3895,13896132.17,,13625981.97,,296292.3255,,4668725.512,,123155.6132,329279.877,5377058.271,1970
31,6868258.6,983571.9184,14310811.21,,13541266.03,,376156.2758,,3742525.009,,68530.83258,436031.1784,4217154.077,1970
32,5741607.4,512049.2607,,,11763021.1,,493796.6264,,1941940.278,,49987.55913,288736.9638,3918743.714,1970
33,5924387.092,253800.5738,27955427.19,,11374212.36,,280666.112,,1596920.467,,133688.4292,415286.6219,3177251.323,1970
34,5413485.551,758280.7263,44786644.02,49029.65806,11135125.2,,342918.4712,,1528554.021,,82619.07436,285514.1804,2859833.574,1970
35,3448430.733,225267.4373,47200276.56,,9672102.18,,93130.19208,,673495.1011,,112241.7524,212592.5013,2394707.073,1970
