"Year","Species","Biomass","Biomass_base","Biomass_opt"
1970,"AMERICAN PLAICE",144914533700,168169490836.026,168169490836.026
1971,"AMERICAN PLAICE",147755127300,168103877731.595,168103877731.595
1972,"AMERICAN PLAICE",124226821300,168028739450.831,168028739450.831
1973,"AMERICAN PLAICE",117576693800,162688348716.326,162688348716.326
1974,"AMERICAN PLAICE",206898621400,158469620207.129,158469620207.129
1975,"AMERICAN PLAICE",171581241200,154901919556.055,154901919556.055
1976,"AMERICAN PLAICE",211630487800,152306404711.815,152306404711.815
1977,"AMERICAN PLAICE",118782063300,149396407083.458,149396407083.458
1978,"AMERICAN PLAICE",114411933500,151760448533.198,151760448533.198
1979,"AMERICAN PLAICE",160534137600,152562169700.385,152562169700.385
1980,"AMERICAN PLAICE",187859742700,152503458993.755,152503458993.755
1981,"AMERICAN PLAICE",169830279200,148307592231.289,148307592231.289
1982,"AMERICAN PLAICE",134484355500,147726152467.921,147726152467.921
1983,"AMERICAN PLAICE",123102223700,149939475206.545,149939475206.545
1984,"AMERICAN PLAICE",126195584300,155377892225.4,155377892225.4
1985,"AMERICAN PLAICE",109098453700,164470856380.868,164470856380.868
1986,"AMERICAN PLAICE",82920744420,175838154802.883,175838154802.883
1987,"AMERICAN PLAICE",83853688590,187609376280.99,187609376280.99
1988,"AMERICAN PLAICE",71333413610,197486114394.561,190270507327.989
1989,"AMERICAN PLAICE",98797745290,203769956545.772,182318959929.816
1990,"AMERICAN PLAICE",102471331000,208453260036.802,166864092438.956
1991,"AMERICAN PLAICE",121277776200,212131363889.184,146482836381.939
1992,"AMERICAN PLAICE",74902486190,214347646626.924,123516595424.137
1993,"AMERICAN PLAICE",63333240580,214999155610.749,100911722362.433
1994,"AMERICAN PLAICE",57505612860,221888312923.722,84310648024.6816
1995,"AMERICAN PLAICE",88209439060,229254558090.748,72550560845.9672
1996,"AMERICAN PLAICE",72368990240,235616430843.31,66684860663.6637
1997,"AMERICAN PLAICE",64304781890,241062254570.439,67538110288.7329
1998,"AMERICAN PLAICE",92906610060,245626839400.743,74038751572.6805
1999,"AMERICAN PLAICE",79518100430,249309998889.116,83362858230.4883
2000,"AMERICAN PLAICE",74512172990,252177066626.671,91920933880.2224
2001,"AMERICAN PLAICE",47470174510,254290377990.537,96668287002.4846
2002,"AMERICAN PLAICE",65968957220,255603561497.134,96333267485.466
2003,"AMERICAN PLAICE",89957422750,256357566691.357,91920657937.6292
2004,"AMERICAN PLAICE",90120216610,256477559108.833,85751843729.862
2005,"AMERICAN PLAICE",100651650100,256009876781.082,80351106243.8931
2006,"AMERICAN PLAICE",116558764500,254989900167.277,77177395490.4104
2007,"AMERICAN PLAICE",77220334590,253458695457.495,76268642817.7892
2008,"AMERICAN PLAICE",76347644570,251456020291.721,76743342075.9871
2009,"AMERICAN PLAICE",66145270940,249021038275.667,77575464477.8684
2010,"AMERICAN PLAICE",55689961140,246191143782.454,78107163377.5235
1970,"ATLANTIC COD",83254270010,177705696358.558,177705696358.558
1971,"ATLANTIC COD",145030548800,157139474061.603,157139474061.603
1972,"ATLANTIC COD",94959484340,116249188762.799,116249188762.799
1973,"ATLANTIC COD",244994920500,155927485107.015,155927485107.015
1974,"ATLANTIC COD",72688705350,186674711102.879,186674711102.879
1975,"ATLANTIC COD",53856484230,242034015032.059,242034015032.059
1976,"ATLANTIC COD",71653654690,305408646394.303,305408646394.303
1977,"ATLANTIC COD",100694674500,355512317172.41,355512317172.41
1978,"ATLANTIC COD",151583115900,319263457005.962,319263457005.962
1979,"ATLANTIC COD",115162921300,261777013779.485,261777013779.485
1980,"ATLANTIC COD",143229344300,296310124279.803,296310124279.803
1981,"ATLANTIC COD",192917896600,137157141924.724,137157141924.724
1982,"ATLANTIC COD",299451933200,73829144089.8511,73829144089.8511
1983,"ATLANTIC COD",369437561000,74858365999.2675,74858365999.2675
1984,"ATLANTIC COD",291159578400,99373953560.7985,99373953560.7985
1985,"ATLANTIC COD",259165375500,143491245796.87,143491245796.87
1986,"ATLANTIC COD",107510019300,199069557552.081,199069557552.081
