"Year","Species","Biomass_base"
1970,"AMERICAN PLAICE",148447391401.826
1971,"AMERICAN PLAICE",148529053607.087
1972,"AMERICAN PLAICE",149089373123.085
1973,"AMERICAN PLAICE",144833950375.583
1974,"AMERICAN PLAICE",140758658305.52
1975,"AMERICAN PLAICE",136400600377.56
1976,"AMERICAN PLAICE",132110673821.496
1977,"AMERICAN PLAICE",127045857839.785
1978,"AMERICAN PLAICE",126679255342.82
1979,"AMERICAN PLAICE",125535543042.316
1980,"AMERICAN PLAICE",124137880849.077
1981,"AMERICAN PLAICE",120169387404.286
1982,"AMERICAN PLAICE",120916009198.341
1983,"AMERICAN PLAICE",124546731036.138
1984,"AMERICAN PLAICE",129634682332.134
1985,"AMERICAN PLAICE",135933954711.052
1986,"AMERICAN PLAICE",142569143624.409
1987,"AMERICAN PLAICE",149352962813.977
1988,"AMERICAN PLAICE",155104648666.817
1989,"AMERICAN PLAICE",157271387614.725
1990,"AMERICAN PLAICE",157370349879.935
1991,"AMERICAN PLAICE",156322202530.732
1992,"AMERICAN PLAICE",153953845276.253
1993,"AMERICAN PLAICE",150566562308.233
1994,"AMERICAN PLAICE",151628753117.483
1995,"AMERICAN PLAICE",152532586809.133
1996,"AMERICAN PLAICE",152456631676
1997,"AMERICAN PLAICE",151837349684.307
1998,"AMERICAN PLAICE",150890626371.691
1999,"AMERICAN PLAICE",149680612149.841
2000,"AMERICAN PLAICE",148268870466.504
2001,"AMERICAN PLAICE",146689293802.563
2002,"AMERICAN PLAICE",144901863787.467
2003,"AMERICAN PLAICE",143033191505.193
2004,"AMERICAN PLAICE",141022322214.452
2005,"AMERICAN PLAICE",138883508253.856
2006,"AMERICAN PLAICE",136625005461.655
2007,"AMERICAN PLAICE",134259391943.663
2008,"AMERICAN PLAICE",131799330012.315
2009,"AMERICAN PLAICE",129257711396.475
2010,"AMERICAN PLAICE",126646782556.985
1970,"COD(ATLANTIC)",169578515137.754
1971,"COD(ATLANTIC)",151685009727.61
1972,"COD(ATLANTIC)",117607727733.367
1973,"COD(ATLANTIC)",152995564941.172
1974,"COD(ATLANTIC)",177497172465.048
1975,"COD(ATLANTIC)",222880563934.201
1976,"COD(ATLANTIC)",274207122630.382
1977,"COD(ATLANTIC)",313231124846.665
1978,"COD(ATLANTIC)",273525705597.66
1979,"COD(ATLANTIC)",221045394486.922
1980,"COD(ATLANTIC)",251838605759.764
1981,"COD(ATLANTIC)",132979921580.579
1982,"COD(ATLANTIC)",96834904547.2819
1983,"COD(ATLANTIC)",106004463881.442
1984,"COD(ATLANTIC)",126765815337.806
1985,"COD(ATLANTIC)",154342413279.578
1986,"COD(ATLANTIC)",180603507716.604
1987,"COD(ATLANTIC)",155625933596.7
1988,"COD(ATLANTIC)",215742804764.876
1989,"COD(ATLANTIC)",272698717197.714
1990,"COD(ATLANTIC)",287013706926.188
1991,"COD(ATLANTIC)",315732685542.453
1992,"COD(ATLANTIC)",328018625491.025
1993,"COD(ATLANTIC)",323441743952.256
1994,"COD(ATLANTIC)",379877927503.681
1995,"COD(ATLANTIC)",449756231324.801
1996,"COD(ATLANTIC)",517027181039.335
1997,"COD(ATLANTIC)",577335688181.887
1998,"COD(ATLANTIC)",632113626107.587
1999,"COD(ATLANTIC)",681306700822.21
2000,"COD(ATLANTIC)",724738587980.275
2001,"COD(ATLANTIC)",762979352063.666
2002,"COD(ATLANTIC)",793481023694.849
2003,"COD(ATLANTIC)",824808767405.839
2004,"COD(ATLANTIC)",852407439157.075
2005,"COD(ATLANTIC)",876707590390.002
2006,"COD(ATLANTIC)",898057425636.608
2007,"COD(ATLANTIC)",916756321491.192
2008,"COD(ATLANTIC)",933065449463.292
2009,"COD(ATLANTIC)",947214410983.744
2010,"COD(ATLANTIC)",959405274385.277
1970,"HERRING(ATLANTIC)",112163690337.941
1971,"HERRING(ATLANTIC)",120979128792.239
1972,"HERRING(ATLANTIC)",112991258002.81
1973,"HERRING(ATLANTIC)",117050767842.73
1974,"HERRING(ATLANTIC)",123266941594.785
1975,"HERRING(ATLANTIC)",110525722074.475
1976,"HERRING(ATLANTIC)",90126691440.972
1977,"HERRING(ATLANTIC)",77211243809.5586
1978,"HERRING(ATLANTIC)",55799876054.8819
1979,"HERRING(ATLANTIC)",43920255966.514
1980,"HERRING(ATLANTIC)",39459566268.9709
1981,"HERRING(ATLANTIC)",38033080466.8658
1982,"HERRING(ATLANTIC)",43191767504.522
1983,"HERRING(ATLANTIC)",58975830225.456
1984,"HERRING(ATLANTIC)",77648306008.6465
1985,"HERRING(ATLANTIC)",94766106393.4534
1986,"HERRING(ATLANTIC)",104837997631.311
1987,"HERRING(ATLANTIC)",118379342016.011
1988,"HERRING(ATLANTIC)",116067212870.418
1989,"HERRING(ATLANTIC)",111217929030.358
1990,"HERRING(ATLANTIC)",100415777372.556
1991,"HERRING(ATLANTIC)",86808873402.1214
1992,"HERRING(ATLANTIC)",67109716049.1538
1993,"HERRING(ATLANTIC)",50035890617.2002
1994,"HERRING(ATLANTIC)",36344196479.579
1995,"HERRING(ATLANTIC)",23988146622.4436
1996,"HERRING(ATLANTIC)",16491421453.3857
1997,"HERRING(ATLANTIC)",12362940793.1419
1998,"HERRING(ATLANTIC)",8995231811.44958
1999,"HERRING(ATLANTIC)",6818810539.45759
2000,"HERRING(ATLANTIC)",4932499501.1334
2001,"HERRING(ATLANTIC)",3680089102.06326
2002,"HERRING(ATLANTIC)",2639627939.76035
2003,"HERRING(ATLANTIC)",1927239380.77859
2004,"HERRING(ATLANTIC)",1478788869.67455
2005,"HERRING(ATLANTIC)",1158397055.31395
2006,"HERRING(ATLANTIC)",904559012.850495
2007,"HERRING(ATLANTIC)",694143188.335588
2008,"HERRING(ATLANTIC)",537962995.771592
2009,"HERRING(ATLANTIC)",409880240.491355
2010,"HERRING(ATLANTIC)",296948858.739746
1970,"ATLANTIC HALIBUT",2449977046.16464
1971,"ATLANTIC HALIBUT",3095816849.12555
1972,"ATLANTIC HALIBUT",3867167637.48868
1973,"ATLANTIC HALIBUT",4783775792.1242
1974,"ATLANTIC HALIBUT",5840083286.21712
1975,"ATLANTIC HALIBUT",7026482523.96746
1976,"ATLANTIC HALIBUT",7951084603.52488
1977,"ATLANTIC HALIBUT",7533794656.3505
1978,"ATLANTIC HALIBUT",8440013051.91032
1979,"ATLANTIC HALIBUT",9102405042.83068
1980,"ATLANTIC HALIBUT",6318611467.43961
1981,"ATLANTIC HALIBUT",3868336596.91268
1982,"ATLANTIC HALIBUT",2918163631.6997
1983,"ATLANTIC HALIBUT",2385604914.47881
1984,"ATLANTIC HALIBUT",2125750847.78164
1985,"ATLANTIC HALIBUT",1693185943.35348
1986,"ATLANTIC HALIBUT",1313086809.96649
1987,"ATLANTIC HALIBUT",1185667650.00205
1988,"ATLANTIC HALIBUT",1140603878.43757
1989,"ATLANTIC HALIBUT",975699714.474014
1990,"ATLANTIC HALIBUT",815198115.867684
1991,"ATLANTIC HALIBUT",682508415.61709
1992,"ATLANTIC HALIBUT",659558879.933545
1993,"ATLANTIC HALIBUT",670503912.473927
1994,"ATLANTIC HALIBUT",682199173.582459
1995,"ATLANTIC HALIBUT",772489972.519992
1996,"ATLANTIC HALIBUT",773844060.282346
1997,"ATLANTIC HALIBUT",705883742.512898
1998,"ATLANTIC HALIBUT",682627018.573267
1999,"ATLANTIC HALIBUT",785286549.410013
2000,"ATLANTIC HALIBUT",824795048.636875
2001,"ATLANTIC HALIBUT",905116998.407489
2002,"ATLANTIC HALIBUT",979045395.7536
2003,"ATLANTIC HALIBUT",1049569642.91848
2004,"ATLANTIC HALIBUT",1132133607.81578
2005,"ATLANTIC HALIBUT",1222729814.83414
2006,"ATLANTIC HALIBUT",1310056032.16018
2007,"ATLANTIC HALIBUT",1393875641.26143
2008,"ATLANTIC HALIBUT",1474040628.87019
2009,"ATLANTIC HALIBUT",1550476722.52616
2010,"ATLANTIC HALIBUT",1623168747.02664
1970,"REDFISH UNSEPARATED",215998334207.59
1971,"REDFISH UNSEPARATED",234998383727.691
1972,"REDFISH UNSEPARATED",259428012486.104
1973,"REDFISH UNSEPARATED",288725099987.403
1974,"REDFISH UNSEPARATED",284405425542.768
1975,"REDFISH UNSEPARATED",248035964895.062
1976,"REDFISH UNSEPARATED",252027118851.559
1977,"REDFISH UNSEPARATED",246554086575.491
1978,"REDFISH UNSEPARATED",191310953383.457
1979,"REDFISH UNSEPARATED",160305157751.455
1980,"REDFISH UNSEPARATED",140677559978.649
1981,"REDFISH UNSEPARATED",129381209928.336
1982,"REDFISH UNSEPARATED",128350538410.832
1983,"REDFISH UNSEPARATED",140017686018.27
1984,"REDFISH UNSEPARATED",151987589563.915
1985,"REDFISH UNSEPARATED",166637410018.053
1986,"REDFISH UNSEPARATED",184351879976.659
1987,"REDFISH UNSEPARATED",205782944385.924
1988,"REDFISH UNSEPARATED",221336623403.352
1989,"REDFISH UNSEPARATED",233942156307.215
1990,"REDFISH UNSEPARATED",240101683856.896
1991,"REDFISH UNSEPARATED",244883805953.58
1992,"REDFISH UNSEPARATED",249493768561.098
1993,"REDFISH UNSEPARATED",242756663630.605
1994,"REDFISH UNSEPARATED",242771777694.718
1995,"REDFISH UNSEPARATED",239000600486.189
1996,"REDFISH UNSEPARATED",233247817861.471
1997,"REDFISH UNSEPARATED",223721954943.746
1998,"REDFISH UNSEPARATED",214785376349.684
1999,"REDFISH UNSEPARATED",205138803659.036
2000,"REDFISH UNSEPARATED",194940398570.65
2001,"REDFISH UNSEPARATED",186422544218.921
2002,"REDFISH UNSEPARATED",178728402663.935
2003,"REDFISH UNSEPARATED",171320640217.466
2004,"REDFISH UNSEPARATED",163985096357.687
2005,"REDFISH UNSEPARATED",156760455240.145
2006,"REDFISH UNSEPARATED",149675497067.786
2007,"REDFISH UNSEPARATED",142753390345.471
2008,"REDFISH UNSEPARATED",136012792332.181
2009,"REDFISH UNSEPARATED",129468403930.002
2010,"REDFISH UNSEPARATED",123131455450.801
1970,"TURBOT, GREENLAND HALIBUT",653558664.291862
1971,"TURBOT, GREENLAND HALIBUT",618591505.73441
1972,"TURBOT, GREENLAND HALIBUT",576304502.854172
1973,"TURBOT, GREENLAND HALIBUT",534574549.290657
1974,"TURBOT, GREENLAND HALIBUT",497317319.503298
1975,"TURBOT, GREENLAND HALIBUT",465963847.311415
1976,"TURBOT, GREENLAND HALIBUT",515182633.31488
1977,"TURBOT, GREENLAND HALIBUT",624810520.169939
1978,"TURBOT, GREENLAND HALIBUT",650984137.474817
1979,"TURBOT, GREENLAND HALIBUT",542690507.773719
1980,"TURBOT, GREENLAND HALIBUT",515723469.078
1981,"TURBOT, GREENLAND HALIBUT",472033699.075042
1982,"TURBOT, GREENLAND HALIBUT",521983248.257866
1983,"TURBOT, GREENLAND HALIBUT",578050368.034518
1984,"TURBOT, GREENLAND HALIBUT",619884444.283488
1985,"TURBOT, GREENLAND HALIBUT",670612937.354225
1986,"TURBOT, GREENLAND HALIBUT",734490132.069097
1987,"TURBOT, GREENLAND HALIBUT",758560343.860068
1988,"TURBOT, GREENLAND HALIBUT",834704600.182068
1989,"TURBOT, GREENLAND HALIBUT",858110233.037208
1990,"TURBOT, GREENLAND HALIBUT",943035897.299961
1991,"TURBOT, GREENLAND HALIBUT",1036545369.36386
1992,"TURBOT, GREENLAND HALIBUT",1019412454.43148
1993,"TURBOT, GREENLAND HALIBUT",1058452234.99887
1994,"TURBOT, GREENLAND HALIBUT",1112609780.02002
1995,"TURBOT, GREENLAND HALIBUT",1168159119.79993
1996,"TURBOT, GREENLAND HALIBUT",1203104117.68131
1997,"TURBOT, GREENLAND HALIBUT",1209668912.23326
1998,"TURBOT, GREENLAND HALIBUT",1254424999.21613
1999,"TURBOT, GREENLAND HALIBUT",1262706508.13077
2000,"TURBOT, GREENLAND HALIBUT",1284408867.09151
2001,"TURBOT, GREENLAND HALIBUT",1297944802.37988
2002,"TURBOT, GREENLAND HALIBUT",1309734996.86228
2003,"TURBOT, GREENLAND HALIBUT",1304397007.36036
2004,"TURBOT, GREENLAND HALIBUT",1307686116.18228
2005,"TURBOT, GREENLAND HALIBUT",1320583617.3229
2006,"TURBOT, GREENLAND HALIBUT",1344099933.73968
2007,"TURBOT, GREENLAND HALIBUT",1363644619.33512
2008,"TURBOT, GREENLAND HALIBUT",1379485999.40342
2009,"TURBOT, GREENLAND HALIBUT",1391865705.00018
2010,"TURBOT, GREENLAND HALIBUT",1401008866.79922
1970,"HADDOCK",79061592435.8912
1971,"HADDOCK",85885079137.3409
1972,"HADDOCK",93026747605.6484
1973,"HADDOCK",100412545207.124
1974,"HADDOCK",107667040410.427
1975,"HADDOCK",114552545953.94
1976,"HADDOCK",120658300775.435
1977,"HADDOCK",122437607336.659
1978,"HADDOCK",119938618253.724
1979,"HADDOCK",113955279352.999
1980,"HADDOCK",97335653559.0949
1981,"HADDOCK",85894352881.5816
1982,"HADDOCK",71909281048.3172
1983,"HADDOCK",63797701786.5962
1984,"HADDOCK",60113623809.721
1985,"HADDOCK",57874660353.1136
1986,"HADDOCK",64023923720.0952
1987,"HADDOCK",71677981925.4226
1988,"HADDOCK",80666874746.6516
1989,"HADDOCK",89441528461.5369
1990,"HADDOCK",97550060596.2547
1991,"HADDOCK",101211782592.567
1992,"HADDOCK",103111520246.341
1993,"HADDOCK",105207457821.952
1994,"HADDOCK",104529016203.351
1995,"HADDOCK",103523926066.237
1996,"HADDOCK",104769174872.468
1997,"HADDOCK",107014588967.275
1998,"HADDOCK",110340024284.882
1999,"HADDOCK",113351131815.529
2000,"HADDOCK",115734778372.118
2001,"HADDOCK",117697977532.129
2002,"HADDOCK",119291665074.411
2003,"HADDOCK",119477428329.614
2004,"HADDOCK",119418839942.422
2005,"HADDOCK",119159685475.556
2006,"HADDOCK",118738288571.998
2007,"HADDOCK",118187572980.422
2008,"HADDOCK",117535752865.599
2009,"HADDOCK",116806965166.478
2010,"HADDOCK",116021827798.206
1970,"SANDLANCES",65059377202.3887
1971,"SANDLANCES",66093892856.6092
1972,"SANDLANCES",71022747504.0603
1973,"SANDLANCES",76256104712.518
1974,"SANDLANCES",76320631894.8275
1975,"SANDLANCES",70744422555.2089
1976,"SANDLANCES",58856321286.4512
