"Year","Species","Biomass_opt"
1970,"AMERICAN PLAICE",148447391401.826
1971,"AMERICAN PLAICE",148529053607.087
1972,"AMERICAN PLAICE",149089373123.085
1973,"AMERICAN PLAICE",144833950375.583
1974,"AMERICAN PLAICE",140758658305.52
1975,"AMERICAN PLAICE",136400600377.56
1976,"AMERICAN PLAICE",132110673821.496
1977,"AMERICAN PLAICE",127045857839.785
1978,"AMERICAN PLAICE",126679255342.82
1979,"AMERICAN PLAICE",125535543042.316
1980,"AMERICAN PLAICE",124137880849.077
1981,"AMERICAN PLAICE",120169387404.286
1982,"AMERICAN PLAICE",120916009198.341
1983,"AMERICAN PLAICE",124546731036.138
1984,"AMERICAN PLAICE",129634682332.134
1985,"AMERICAN PLAICE",135933954711.052
1986,"AMERICAN PLAICE",142569143624.409
1987,"AMERICAN PLAICE",149352962813.977
1988,"AMERICAN PLAICE",152405039704.729
1989,"AMERICAN PLAICE",149671059107.738
1990,"AMERICAN PLAICE",143178035370.354
1991,"AMERICAN PLAICE",134347222158.828
1992,"AMERICAN PLAICE",123773092753.364
1993,"AMERICAN PLAICE",112477978208.802
1994,"AMERICAN PLAICE",104749074490.028
1995,"AMERICAN PLAICE",97416907404.2118
1996,"AMERICAN PLAICE",90167750829.426
1997,"AMERICAN PLAICE",83878439746.9638
1998,"AMERICAN PLAICE",79189809365.9263
1999,"AMERICAN PLAICE",76123487329.8936
2000,"AMERICAN PLAICE",74288740819.9412
2001,"AMERICAN PLAICE",73020551088.2907
2002,"AMERICAN PLAICE",71631938086.883
2003,"AMERICAN PLAICE",69792392847.2886
2004,"AMERICAN PLAICE",67147384301.5871
2005,"AMERICAN PLAICE",63628914945.3093
2006,"AMERICAN PLAICE",59413575444.7589
2007,"AMERICAN PLAICE",54773268728.2961
2008,"AMERICAN PLAICE",50003741640.403
2009,"AMERICAN PLAICE",45392064730.7231
2010,"AMERICAN PLAICE",41164929589.7783
1970,"COD(ATLANTIC)",169578515137.754
1971,"COD(ATLANTIC)",151685009727.61
1972,"COD(ATLANTIC)",117607727733.367
1973,"COD(ATLANTIC)",152995564941.172
1974,"COD(ATLANTIC)",177497172465.048
1975,"COD(ATLANTIC)",222880563934.201
1976,"COD(ATLANTIC)",274207122630.382
1977,"COD(ATLANTIC)",313231124846.665
1978,"COD(ATLANTIC)",273525705597.66
1979,"COD(ATLANTIC)",221045394486.922
1980,"COD(ATLANTIC)",251838605759.764
1981,"COD(ATLANTIC)",132979921580.579
1982,"COD(ATLANTIC)",96834904547.2819
1983,"COD(ATLANTIC)",106004463881.442
1984,"COD(ATLANTIC)",126765815337.806
1985,"COD(ATLANTIC)",154342413279.578
1986,"COD(ATLANTIC)",180603507716.604
1987,"COD(ATLANTIC)",155625933596.7
1988,"COD(ATLANTIC)",206944545656.111
1989,"COD(ATLANTIC)",241649928322.302
1990,"COD(ATLANTIC)",228065777205.628
1991,"COD(ATLANTIC)",219247573843.527
1992,"COD(ATLANTIC)",196143621342.081
1993,"COD(ATLANTIC)",166045184903.552
1994,"COD(ATLANTIC)",163399587003.027
1995,"COD(ATLANTIC)",159558744878.85
1996,"COD(ATLANTIC)",149677049230.259
1997,"COD(ATLANTIC)",135650872052.521
1998,"COD(ATLANTIC)",120302199860.732
1999,"COD(ATLANTIC)",105106405507.733
2000,"COD(ATLANTIC)",90662084677.4142
2001,"COD(ATLANTIC)",77072503757.1611
2002,"COD(ATLANTIC)",64183929135.9614
2003,"COD(ATLANTIC)",52552315751.147
2004,"COD(ATLANTIC)",41928400964.1375
2005,"COD(ATLANTIC)",32526288114.2285
2006,"COD(ATLANTIC)",24521296070.2661
2007,"COD(ATLANTIC)",17977830558.6903
2008,"COD(ATLANTIC)",12836765304.6721
2009,"COD(ATLANTIC)",8940969405.67045
2010,"COD(ATLANTIC)",6082718892.66436
1970,"HERRING(ATLANTIC)",112163690337.941
1971,"HERRING(ATLANTIC)",120979128792.239
1972,"HERRING(ATLANTIC)",112991258002.81
1973,"HERRING(ATLANTIC)",117050767842.73
1974,"HERRING(ATLANTIC)",123266941594.785
1975,"HERRING(ATLANTIC)",110525722074.475
1976,"HERRING(ATLANTIC)",90126691440.972
1977,"HERRING(ATLANTIC)",77211243809.5586
1978,"HERRING(ATLANTIC)",55799876054.8819
1979,"HERRING(ATLANTIC)",43920255966.514
1980,"HERRING(ATLANTIC)",39459566268.9709
1981,"HERRING(ATLANTIC)",38033080466.8658
1982,"HERRING(ATLANTIC)",43191767504.522
1983,"HERRING(ATLANTIC)",58975830225.456
1984,"HERRING(ATLANTIC)",77648306008.6465
1985,"HERRING(ATLANTIC)",94766106393.4534
1986,"HERRING(ATLANTIC)",104837997631.311
1987,"HERRING(ATLANTIC)",118379342016.011
1988,"HERRING(ATLANTIC)",114987774457.427
1989,"HERRING(ATLANTIC)",110145820774.429
1990,"HERRING(ATLANTIC)",101920603857.176
1991,"HERRING(ATLANTIC)",94229548527.8581
1992,"HERRING(ATLANTIC)",84047582854.302
1993,"HERRING(ATLANTIC)",78915052381.1471
1994,"HERRING(ATLANTIC)",78562478613.9645
1995,"HERRING(ATLANTIC)",78736783405.5228
1996,"HERRING(ATLANTIC)",86775087268.4069
1997,"HERRING(ATLANTIC)",105210419486.458
1998,"HERRING(ATLANTIC)",126715535736.632
1999,"HERRING(ATLANTIC)",159043030686.006
2000,"HERRING(ATLANTIC)",191647503818.572
2001,"HERRING(ATLANTIC)",232004123243.546
2002,"HERRING(ATLANTIC)",265775661434.556
2003,"HERRING(ATLANTIC)",303244561902.728
2004,"HERRING(ATLANTIC)",349962335430.435
2005,"HERRING(ATLANTIC)",394936846189.02
2006,"HERRING(ATLANTIC)",429416033032.467
2007,"HERRING(ATLANTIC)",450219624831.222
2008,"HERRING(ATLANTIC)",469003031699.55
2009,"HERRING(ATLANTIC)",477277805136.987
2010,"HERRING(ATLANTIC)",467325210925.459
1970,"ATLANTIC HALIBUT",2449977046.16464
1971,"ATLANTIC HALIBUT",3095816849.12555
1972,"ATLANTIC HALIBUT",3867167637.48868
1973,"ATLANTIC HALIBUT",4783775792.1242
1974,"ATLANTIC HALIBUT",5840083286.21712
1975,"ATLANTIC HALIBUT",7026482523.96746
1976,"ATLANTIC HALIBUT",7951084603.52488
1977,"ATLANTIC HALIBUT",7533794656.3505
1978,"ATLANTIC HALIBUT",8440013051.91032
1979,"ATLANTIC HALIBUT",9102405042.83068
1980,"ATLANTIC HALIBUT",6318611467.43961
1981,"ATLANTIC HALIBUT",3868336596.91268
1982,"ATLANTIC HALIBUT",2918163631.6997
1983,"ATLANTIC HALIBUT",2385604914.47881
1984,"ATLANTIC HALIBUT",2125750847.78164
1985,"ATLANTIC HALIBUT",1693185943.35348
1986,"ATLANTIC HALIBUT",1313086809.96649
1987,"ATLANTIC HALIBUT",1185667650.00205
1988,"ATLANTIC HALIBUT",1136239080.10998
1989,"ATLANTIC HALIBUT",965913456.85272
1990,"ATLANTIC HALIBUT",801186398.783511
1991,"ATLANTIC HALIBUT",666159890.281234
1992,"ATLANTIC HALIBUT",641659752.664687
1993,"ATLANTIC HALIBUT",653507646.772251
1994,"ATLANTIC HALIBUT",670692523.354327
1995,"ATLANTIC HALIBUT",771926593.472134
1996,"ATLANTIC HALIBUT",795635550.387636
1997,"ATLANTIC HALIBUT",760440179.925042
1998,"ATLANTIC HALIBUT",782376649.233333
1999,"ATLANTIC HALIBUT",959135253.263544
2000,"ATLANTIC HALIBUT",1086888125.8774
2001,"ATLANTIC HALIBUT",1290116850.80133
2002,"ATLANTIC HALIBUT",1515430134.23882
2003,"ATLANTIC HALIBUT",1770996703.49418
2004,"ATLANTIC HALIBUT",2085026459.1224
2005,"ATLANTIC HALIBUT",2458458876.59728
2006,"ATLANTIC HALIBUT",2875434184.56252
2007,"ATLANTIC HALIBUT",3336603830.12438
2008,"ATLANTIC HALIBUT",3841787532.80177
2009,"ATLANTIC HALIBUT",4389704616.69877
2010,"ATLANTIC HALIBUT",4977575408.25696
1970,"REDFISH UNSEPARATED",215998334207.59
1971,"REDFISH UNSEPARATED",234998383727.691
1972,"REDFISH UNSEPARATED",259428012486.104
1973,"REDFISH UNSEPARATED",288725099987.403
1974,"REDFISH UNSEPARATED",284405425542.768
1975,"REDFISH UNSEPARATED",248035964895.062
1976,"REDFISH UNSEPARATED",252027118851.559
1977,"REDFISH UNSEPARATED",246554086575.491
1978,"REDFISH UNSEPARATED",191310953383.457
1979,"REDFISH UNSEPARATED",160305157751.455
1980,"REDFISH UNSEPARATED",140677559978.649
1981,"REDFISH UNSEPARATED",129381209928.336
1982,"REDFISH UNSEPARATED",128350538410.832
1983,"REDFISH UNSEPARATED",140017686018.27
1984,"REDFISH UNSEPARATED",151987589563.915
1985,"REDFISH UNSEPARATED",166637410018.053
1986,"REDFISH UNSEPARATED",184351879976.659
1987,"REDFISH UNSEPARATED",205782944385.924
1988,"REDFISH UNSEPARATED",217469419572.587
1989,"REDFISH UNSEPARATED",222912717354.917
1990,"REDFISH UNSEPARATED",219707383979.546
1991,"REDFISH UNSEPARATED",213544944784.581
1992,"REDFISH UNSEPARATED",206288994545.658
1993,"REDFISH UNSEPARATED",190681475512.836
1994,"REDFISH UNSEPARATED",181842340108.664
1995,"REDFISH UNSEPARATED",172327471957.857
1996,"REDFISH UNSEPARATED",163336507067.767
1997,"REDFISH UNSEPARATED",154902575688.229
1998,"REDFISH UNSEPARATED",150532736022.208
1999,"REDFISH UNSEPARATED",149651266805.557
2000,"REDFISH UNSEPARATED",151634228241.984
2001,"REDFISH UNSEPARATED",156034266342.198
2002,"REDFISH UNSEPARATED",160610735572.746
2003,"REDFISH UNSEPARATED",164030816294.769
2004,"REDFISH UNSEPARATED",165310454492.147
2005,"REDFISH UNSEPARATED",164260338062.864
2006,"REDFISH UNSEPARATED",161024580851.206
2007,"REDFISH UNSEPARATED",155891764061.964
2008,"REDFISH UNSEPARATED",149285960901.088
2009,"REDFISH UNSEPARATED",141740725792.514
2010,"REDFISH UNSEPARATED",133826469535.283
1970,"TURBOT, GREENLAND HALIBUT",653558664.291862
1971,"TURBOT, GREENLAND HALIBUT",618591505.73441
1972,"TURBOT, GREENLAND HALIBUT",576304502.854172
1973,"TURBOT, GREENLAND HALIBUT",534574549.290657
1974,"TURBOT, GREENLAND HALIBUT",497317319.503298
1975,"TURBOT, GREENLAND HALIBUT",465963847.311415
1976,"TURBOT, GREENLAND HALIBUT",515182633.31488
1977,"TURBOT, GREENLAND HALIBUT",624810520.169939
1978,"TURBOT, GREENLAND HALIBUT",650984137.474817
1979,"TURBOT, GREENLAND HALIBUT",542690507.773719
1980,"TURBOT, GREENLAND HALIBUT",515723469.078
1981,"TURBOT, GREENLAND HALIBUT",472033699.075042
1982,"TURBOT, GREENLAND HALIBUT",521983248.257866
1983,"TURBOT, GREENLAND HALIBUT",578050368.034518
1984,"TURBOT, GREENLAND HALIBUT",619884444.283488
1985,"TURBOT, GREENLAND HALIBUT",670612937.354225
1986,"TURBOT, GREENLAND HALIBUT",734490132.069097
1987,"TURBOT, GREENLAND HALIBUT",758560343.860068
1988,"TURBOT, GREENLAND HALIBUT",831446066.298689
1989,"TURBOT, GREENLAND HALIBUT",848945292.733015
1990,"TURBOT, GREENLAND HALIBUT",924767707.827949
1991,"TURBOT, GREENLAND HALIBUT",1006447738.77208
1992,"TURBOT, GREENLAND HALIBUT",981972362.221668
1993,"TURBOT, GREENLAND HALIBUT",1013309619.4176
1994,"TURBOT, GREENLAND HALIBUT",1062292052.59423
1995,"TURBOT, GREENLAND HALIBUT",1118470373.78713
1996,"TURBOT, GREENLAND HALIBUT",1164742003.17138
1997,"TURBOT, GREENLAND HALIBUT",1197437866.48409
1998,"TURBOT, GREENLAND HALIBUT",1275198554.02851
1999,"TURBOT, GREENLAND HALIBUT",1333554057.66671
2000,"TURBOT, GREENLAND HALIBUT",1416474552.86073
2001,"TURBOT, GREENLAND HALIBUT",1504823560.17809
2002,"TURBOT, GREENLAND HALIBUT",1604647785.12486
2003,"TURBOT, GREENLAND HALIBUT",1701189497.4164
2004,"TURBOT, GREENLAND HALIBUT",1817703478.84721
2005,"TURBOT, GREENLAND HALIBUT",1954494176.17001
2006,"TURBOT, GREENLAND HALIBUT",2111754316.98212
2007,"TURBOT, GREENLAND HALIBUT",2271175239.21734
2008,"TURBOT, GREENLAND HALIBUT",2430729608.40473
2009,"TURBOT, GREENLAND HALIBUT",2588146685.16083
2010,"TURBOT, GREENLAND HALIBUT",2741399161.22104
1970,"HADDOCK",79061592435.8912
1971,"HADDOCK",85885079137.3409
1972,"HADDOCK",93026747605.6484
1973,"HADDOCK",100412545207.124
1974,"HADDOCK",107667040410.427
1975,"HADDOCK",114552545953.94
1976,"HADDOCK",120658300775.435
1977,"HADDOCK",122437607336.659
1978,"HADDOCK",119938618253.724
1979,"HADDOCK",113955279352.999
1980,"HADDOCK",97335653559.0949
1981,"HADDOCK",85894352881.5816
1982,"HADDOCK",71909281048.3172
1983,"HADDOCK",63797701786.5962
1984,"HADDOCK",60113623809.721
1985,"HADDOCK",57874660353.1136
1986,"HADDOCK",64023923720.0952
1987,"HADDOCK",71677981925.4226
1988,"HADDOCK",80015102673.1604
1989,"HADDOCK",87398171770.3795
1990,"HADDOCK",93397545812.055
1991,"HADDOCK",94568416001.832
1992,"HADDOCK",93767335910.5445
1993,"HADDOCK",92936867470.1114
1994,"HADDOCK",89664090712.4651
1995,"HADDOCK",86390040643.2072
1996,"HADDOCK",85276619957.8052
1997,"HADDOCK",85274924151.6813
1998,"HADDOCK",86378148253.009
1999,"HADDOCK",87435548299.5244
2000,"HADDOCK",88144394213.5979
2001,"HADDOCK",88566644718.7939
2002,"HADDOCK",88667961961.7968
2003,"HADDOCK",87686137443.4979
2004,"HADDOCK",86350538057.0657
2005,"HADDOCK",84649301800.6699
2006,"HADDOCK",82577959770.6032
2007,"HADDOCK",80155784753.1444
2008,"HADDOCK",77430730744.4825
2009,"HADDOCK",74468381922.3538
2010,"HADDOCK",71345049521.6359
1970,"SANDLANCES",65059377202.3887
1971,"SANDLANCES",66093892856.6092
1972,"SANDLANCES",71022747504.0603
1973,"SANDLANCES",76256104712.518
1974,"SANDLANCES",76320631894.8275
