"Year","Country","GearCode","Tonnage","MainSpecies","Divcode","Code","Effort","Catches","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","DateCreated"
1960,2,10,4,1,31,1,0,0,0,0,0,0,0,0,0,15,0,0,13,0,30/7/1996 0:00:00
1960,2,10,4,1,31,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,30/7/1996 0:00:00
1960,2,10,4,1,31,101,0,0,0,0,0,0,0,0,0,48,0,0,4,0,30/7/1996 0:00:00
1960,2,10,4,1,31,102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30/7/1996 0:00:00
1960,2,10,3,29,32,1,0,0,0,0,0,0,29,132,0,0,0,88,0,0,30/7/1996 0:00:00
1960,2,10,3,29,32,2,0,0,0,0,0,0,4,9,0,0,0,10,0,0,30/7/1996 0:00:00
1960,2,10,3,29,32,101,0,0,0,0,0,0,48,16,0,0,4,51,0,0,30/7/1996 0:00:00
1960,2,10,3,29,32,102,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30/7/1996 0:00:00
1960,2,10,3,29,32,103,0,0,0,0,0,0,0,0,0,0,0,3,0,0,30/7/1996 0:00:00
1960,2,10,3,29,32,112,0,0,0,0,0,0,16,198,0,0,67,61,0,0,30/7/1996 0:00:00
1960,2,10,3,29,32,114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30/7/1996 0:00:00
1960,2,10,3,29,32,122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30/7/1996 0:00:00
1960,2,10,3,29,32,129,0,0,0,0,0,0,0,0,0,0,4,0,0,0,30/7/1996 0:00:00
1960,2,10,3,29,32,188,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30/7/1996 0:00:00
1960,2,10,3,29,32,199,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30/7/1996 0:00:00
1960,2,10,4,3,32,1,0,0,0,0,0,0,0,0,145,0,0,44,64,0,30/7/1996 0:00:00
1960,2,10,4,3,32,2,0,0,0,0,0,0,0,0,11,0,0,3,4,0,30/7/1996 0:00:00
1960,2,10,4,3,32,101,0,0,0,0,0,0,0,0,21,0,0,5,4,0,30/7/1996 0:00:00
1960,2,10,4,3,32,103,0,0,0,0,0,0,0,0,108,0,0,19,23,0,30/7/1996 0:00:00
1960,2,10,4,3,32,112,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30/7/1996 0:00:00
1960,2,10,4,3,32,188,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,3,32,199,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30/7/1996 0:00:00
1960,2,10,4,29,32,1,0,0,42,0,7,80,1781,2622,761,279,732,992,489,85,30/7/1996 0:00:00
1960,2,10,4,29,32,2,0,0,5,0,1,6,137,180,51,24,56,81,37,7,30/7/1996 0:00:00
1960,2,10,4,29,32,101,0,0,49,0,1,17,554,414,150,217,712,616,97,8,30/7/1996 0:00:00
1960,2,10,4,29,32,102,0,0,3,0,1,0,12,3,0,0,0,3,2,7,30/7/1996 0:00:00
1960,2,10,4,29,32,103,0,0,0,0,0,0,2,2,5,5,0,25,0,0,30/7/1996 0:00:00
1960,2,10,4,29,32,106,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30/7/1996 0:00:00
1960,2,10,4,29,32,112,0,0,6,0,0,76,1645,2525,542,143,116,275,297,74,30/7/1996 0:00:00
1960,2,10,4,29,32,114,0,0,5,0,0,0,6,1,0,0,0,3,1,1,30/7/1996 0:00:00
1960,2,10,4,29,32,116,0,0,0,0,0,0,1,0,0,0,0,1,1,0,30/7/1996 0:00:00
