"Year","Species","Yield_base"
1970,"AMERICAN PLAICE",9458140021.34707
1971,"AMERICAN PLAICE",9944369384.38398
1972,"AMERICAN PLAICE",15212923607.2556
1973,"AMERICAN PLAICE",13379163404.1419
1974,"AMERICAN PLAICE",11690212037.5691
1975,"AMERICAN PLAICE",9303477392.96782
1976,"AMERICAN PLAICE",8168276965.0677
1977,"AMERICAN PLAICE",2736917252.14008
1978,"AMERICAN PLAICE",4326397053.77214
1979,"AMERICAN PLAICE",5123780928.44383
1980,"AMERICAN PLAICE",9517317028.58508
1981,"AMERICAN PLAICE",7659544101.81116
1982,"AMERICAN PLAICE",6955414327.45341
1983,"AMERICAN PLAICE",6368804313.79063
1984,"AMERICAN PLAICE",5884883492.75207
1985,"AMERICAN PLAICE",5550307833.28579
1986,"AMERICAN PLAICE",5346581425.01167
1987,"AMERICAN PLAICE",5715718457.20104
1988,"AMERICAN PLAICE",5647705716.3219
1989,"AMERICAN PLAICE",5001081794.6487
1990,"AMERICAN PLAICE",5115011615.37068
1991,"AMERICAN PLAICE",5841093954.83198
1992,"AMERICAN PLAICE",6877875979.3655
1993,"AMERICAN PLAICE",1194689383.39265
1994,"AMERICAN PLAICE",28812011.1166955
1995,"AMERICAN PLAICE",33623785.1595086
1996,"AMERICAN PLAICE",28753107.7332022
1997,"AMERICAN PLAICE",14800039.060531
1998,"AMERICAN PLAICE",25528604.4433127
1999,"AMERICAN PLAICE",28767059.6261901
2000,"AMERICAN PLAICE",24838599.0541783
2001,"AMERICAN PLAICE",102773679.791574
2002,"AMERICAN PLAICE",12427728.6085019
2003,"AMERICAN PLAICE",6233818.56227359
2005,"AMERICAN PLAICE",302884.414290187
2006,"AMERICAN PLAICE",603926.686139499
2007,"AMERICAN PLAICE",901475.3885939
2008,"AMERICAN PLAICE",671650.486693083
2009,"AMERICAN PLAICE",444094.997222843
2010,"AMERICAN PLAICE",219890.602217519
1970,"COD(ATLANTIC)",97749125231.8342
1971,"COD(ATLANTIC)",140683607169.066
1972,"COD(ATLANTIC)",17247504924.5871
1973,"COD(ATLANTIC)",38022827784.8392
1974,"COD(ATLANTIC)",21892482723.688
1975,"COD(ATLANTIC)",21313096356.3817
1976,"COD(ATLANTIC)",34533831312.6747
1977,"COD(ATLANTIC)",126317751334.168
1978,"COD(ATLANTIC)",136453563192.13
1979,"COD(ATLANTIC)",25078392383.0313
1980,"COD(ATLANTIC)",311365129026.639
1981,"COD(ATLANTIC)",132133485033.906
1982,"COD(ATLANTIC)",37141341564.1371
1983,"COD(ATLANTIC)",27599413624.5482
1984,"COD(ATLANTIC)",26380368389.6829
1985,"COD(ATLANTIC)",32385590287.0362
1986,"COD(ATLANTIC)",98525858586.2545
1987,"COD(ATLANTIC)",4695461612.20836
1988,"COD(ATLANTIC)",16152482701.0275
1989,"COD(ATLANTIC)",67562530722.2868
1990,"COD(ATLANTIC)",49887668373.6928
1991,"COD(ATLANTIC)",68220887675.3035
1992,"COD(ATLANTIC)",84941612933.2171
1993,"COD(ATLANTIC)",14530847686.796
1994,"COD(ATLANTIC)",1370106285.28067
1995,"COD(ATLANTIC)",842800716.908079
1996,"COD(ATLANTIC)",3117116975.87815
1997,"COD(ATLANTIC)",2997573440.40407
1998,"COD(ATLANTIC)",2692140443.68605
1999,"COD(ATLANTIC)",2854335614.84499
2000,"COD(ATLANTIC)",2967083216.90954
2001,"COD(ATLANTIC)",6548269007.92608
2002,"COD(ATLANTIC)",804946056.283628
2003,"COD(ATLANTIC)",847885714.15983
2004,"COD(ATLANTIC)",885700701.441103
2005,"COD(ATLANTIC)",919068232.210789
2006,"COD(ATLANTIC)",948626304.356959
2007,"COD(ATLANTIC)",974895148.421107
2008,"COD(ATLANTIC)",998293283.236196
2009,"COD(ATLANTIC)",1019157055.77669
2010,"COD(ATLANTIC)",1037759765.78576
1970,"HERRING(ATLANTIC)",29549527642.432
1971,"HERRING(ATLANTIC)",58200928707.0219
1972,"HERRING(ATLANTIC)",45560149026.3255
