"Year","Species","Yield_opt"
1970,"AMERICAN PLAICE",9458140021.34707
1971,"AMERICAN PLAICE",9944369384.38398
1972,"AMERICAN PLAICE",15212923607.2556
1973,"AMERICAN PLAICE",13379163404.1419
1974,"AMERICAN PLAICE",11690212037.5691
1975,"AMERICAN PLAICE",9303477392.96782
1976,"AMERICAN PLAICE",8168276965.0677
1977,"AMERICAN PLAICE",2736917252.14008
1978,"AMERICAN PLAICE",4326397053.77214
1979,"AMERICAN PLAICE",5123780928.44383
1980,"AMERICAN PLAICE",9517317028.58508
1981,"AMERICAN PLAICE",7659544101.81116
1982,"AMERICAN PLAICE",6955414327.45341
1983,"AMERICAN PLAICE",6368804313.79063
1984,"AMERICAN PLAICE",5884883492.75207
1985,"AMERICAN PLAICE",5550307833.28579
1986,"AMERICAN PLAICE",5346581425.01167
1987,"AMERICAN PLAICE",5715718457.20104
1988,"AMERICAN PLAICE",5533374142.21334
1989,"AMERICAN PLAICE",4711462302.44217
1990,"AMERICAN PLAICE",4554915185.01915
1991,"AMERICAN PLAICE",4835144213.4138
1992,"AMERICAN PLAICE",5201624991.56525
1993,"AMERICAN PLAICE",810634690.659203
1994,"AMERICAN PLAICE",17235714.2979132
1995,"AMERICAN PLAICE",17492080.4757565
1996,"AMERICAN PLAICE",12890422.3819936
1997,"AMERICAN PLAICE",5697343.21302145
1998,"AMERICAN PLAICE",8464095.18654586
1999,"AMERICAN PLAICE",8312958.38281653
2000,"AMERICAN PLAICE",6409344.37032067
2001,"AMERICAN PLAICE",24542858.8289658
2002,"AMERICAN PLAICE",2846605.65596663
2003,"AMERICAN PLAICE",1397678.23539606
2005,"AMERICAN PLAICE",63758.9786522424
2006,"AMERICAN PLAICE",119393.43265369
2007,"AMERICAN PLAICE",163808.087757544
2008,"AMERICAN PLAICE",110069.638526182
2009,"AMERICAN PLAICE",64614.2374705939
2010,"AMERICAN PLAICE",28107.6070296006
1970,"COD(ATLANTIC)",97749125231.8342
1971,"COD(ATLANTIC)",140683607169.066
1972,"COD(ATLANTIC)",17247504924.5871
1973,"COD(ATLANTIC)",38022827784.8392
1974,"COD(ATLANTIC)",21892482723.688
1975,"COD(ATLANTIC)",21313096356.3817
1976,"COD(ATLANTIC)",34533831312.6747
1977,"COD(ATLANTIC)",126317751334.168
1978,"COD(ATLANTIC)",136453563192.13
1979,"COD(ATLANTIC)",25078392383.0313
1980,"COD(ATLANTIC)",311365129026.639
1981,"COD(ATLANTIC)",132133485033.906
1982,"COD(ATLANTIC)",37141341564.1371
1983,"COD(ATLANTIC)",27599413624.5482
1984,"COD(ATLANTIC)",26380368389.6829
1985,"COD(ATLANTIC)",32385590287.0362
1986,"COD(ATLANTIC)",98525858586.2545
1987,"COD(ATLANTIC)",4695461612.20836
1988,"COD(ATLANTIC)",15476748527.147
1989,"COD(ATLANTIC)",59745042503.3114
1990,"COD(ATLANTIC)",39404523027.4039
1991,"COD(ATLANTIC)",46541114407.0387
1992,"COD(ATLANTIC)",48673895174.7292
1993,"COD(ATLANTIC)",6825037516.53597
1994,"COD(ATLANTIC)",513785964.999413
1995,"COD(ATLANTIC)",248893950.836112
1996,"COD(ATLANTIC)",717749810.21785
1997,"COD(ATLANTIC)",534473545.328652
1998,"COD(ATLANTIC)",369201576.011538
1999,"COD(ATLANTIC)",298679723.751802
2000,"COD(ATLANTIC)",235257887.399766
2001,"COD(ATLANTIC)",392201553.347416
2002,"COD(ATLANTIC)",36428483.4402207
2003,"COD(ATLANTIC)",28972641.6518525
2004,"COD(ATLANTIC)",22607999.6254949
2005,"COD(ATLANTIC)",17160867.0812323
2006,"COD(ATLANTIC)",12609855.191333
2007,"COD(ATLANTIC)",8970433.51737953
2008,"COD(ATLANTIC)",6190765.00401802
2009,"COD(ATLANTIC)",4150481.40547769
2010,"COD(ATLANTIC)",2706477.28440094
1970,"HERRING(ATLANTIC)",29549527642.432
1971,"HERRING(ATLANTIC)",58200928707.0219
1972,"HERRING(ATLANTIC)",45560149026.3255
